status,starturl,origin
200,http://metashare.ilsp.gr:8080/repository/browse/qtleap-corpus-v12/0176c39ae9cd11e4a2aa782bcb074135ba7d767f645a48dca1d50ee3c9504253/,parallel-corpora
200,https://kitwiki.csc.fi/twiki/bin/view/KitWiki/FinClarinCorpusResourceMultilingualCorpusOfJuridicalTexts,parallel-corpora
200,http://hdl.handle.net/11234/1-1477,parallel-corpora
200,http://hdl.handle.net/10230/20051,parallel-corpora
200,https://paracrawl.eu/releases.html,parallel-corpora
200,http://hdl.handle.net/11372/LRT-2610,parallel-corpora
200,https://catalog.elra.info/en-us/repository/browse/european-parliament-interpretation-corpus-epic/f13214a2a9e711e7a093ac9e1701ca02d0aa64f224b54427a87e38e3ca23944a/,parallel-corpora
200,http://metashare.csc.fi/repository/browse/opus-helsinki-korp-version/c7249106789011e5be51005056be118e6c8854207d144cf9bea892cda0b7f1bc/,parallel-corpora
200,http://catalog.elra.info/en-us/repository/browse/crater-2-corpus/4877edb6a9db11e7a093ac9e1701ca0251d5e83801de4c15ab1ff891a4086489/,parallel-corpora
200,http://metashare.ilsp.gr:8080/repository/browse/south-east-european-parallel-corpus/d200935e67cc11e28a985ef2e4e6c59ef6e70e681f7745a191deeb0b0537e60a/,parallel-corpora
200,https://catalog.elra.info/en-us/repository/browse/crater-2-corpus/4877edb6a9db11e7a093ac9e1701ca0251d5e83801de4c15ab1ff891a4086489/,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-25D3-8,parallel-corpora
200,http://www.statmt.org/europarl/,parallel-corpora
200,http://hdl.handle.net/11372/LRT-395,parallel-corpora
200,http://metashare.ilsp.gr:8080/repository/browse/pelcra-mutlilingual-parallel-corpora-cc-by/f05f0f1c63f111e2bff4525400d76147f9863da9a70143bebd894e55197705a1/,parallel-corpora
200,https://ec.europa.eu/jrc/en/language-technologies/jrc-acquis,parallel-corpora
200,http://hdl.grnet.gr/11500/UOA-0000-0000-257A-E,parallel-corpora
200,http://inventory.clarin.gr/resources/browse/dgt-translation-memory/5307a4e499cd11e5b369aa3fc0b846a025030d74a89b4a4695d1a519dc3418ca/,parallel-corpora
200,http://metashare.ilsp.gr:8080/repository/browse/manually-aligned-ces-polish-english-parallel-corpus/314b93d26b0011e284b6000423bfd61c36a51e4b609742288e99ba691f07dfdb/,parallel-corpora
200,http://metashare.ilsp.gr:8080/repository/browse/the-naacl-2003-english-romanian-corpus/32d0c7f8dc7311e5aa0b00237df3e358c04f795d2d29477cbd7e46971ebdead6/,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-23BD-4,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-2590-3,parallel-corpora
200,http://cts.informatik.uni-leipzig.de/,parallel-corpora
200,http://opus.lingfil.uu.se/bin/opuscqp.pl,parallel-corpora
200,http://opus.lingfil.uu.se/,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-258C-9,parallel-corpora
200,http://hdl.handle.net/11356/1059,parallel-corpora
200,https://korp.csc.fi/?mode=parallel,parallel-corpora
200,http://metashare.csc.fi/repository/browse/parrus-2016-russian-finnish-parallel-corpus-of-literary-texts/870bdc20fccc11e18b49005056be118e14a557fc52e5430ebfa6df946eba6e59/,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-25DB-0,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-24DA-2,parallel-corpora
200,http://www.linguateca.pt/COMPARA/,parallel-corpora
200,http://hdl.handle.net/11372/LRT-866,parallel-corpora
200,http://clarin-pl.eu/dspace/handle/11321/309,parallel-corpora
200,http://hdl.handle.net/11858/00-097C-0000-0001-4909-7,parallel-corpora
200,http://clarino.uib.no/korpuskel/landing-page?identifier=nspc&view=short,parallel-corpora
200,http://hdl.handle.net/11509/73,parallel-corpora
200,http://omilia.uio.no/touristcorpus/,parallel-corpora
200,http://www.tekstlab.uio.no/logonturist/index.htm,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-258B-A,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-2592-1,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-23E1-A,parallel-corpora
200,http://catalog.elra.info/en-us/repository/browse/gefrepac-german-french-reciprocal-parallel-corpus/37e75176a9db11e7a093ac9e1701ca02019f82147f8243af9cc1fc5a7a99a9eb/,parallel-corpora
200,https://catalog.elra.info/en-us/repository/browse/gefrepac-german-french-reciprocal-parallel-corpus/37e75176a9db11e7a093ac9e1701ca02019f82147f8243af9cc1fc5a7a99a9eb/,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-258D-8,parallel-corpora
200,http://metashare.csc.fi/repository/browse/kotus-finnish-swedish-parallel-corpus/20502382a82511e3aeaf005056be118ebcebcd4bf7134d3581baeb3fd01fad92/,parallel-corpora
200,http://metashare.ilsp.gr:8080/repository/browse/parfin-finnish-russian-parallel-corpus-of-literary-texts/d737e540002c11e388b7005056be118ea93167209acf46b9836b2d8c9318724a/,parallel-corpora
200,http://hdl.handle.net/11356/1061,parallel-corpora
200,https://www.cl.ut.ee/korpused/paralleel/index.php?lang=en,parallel-corpora
200,http://catalog.elra.info/product_info.php?products_id=1316,parallel-corpora
200,http://hdl.handle.net/11234/1-2582,parallel-corpora
200,http://hdl.handle.net/11234/1-1454,parallel-corpora
200,http://hdl.handle.net/11495/DAE9-7FB0-CC35-1,parallel-corpora
200,http://clarino.uib.no/korpuskel/page?page-id=korpuskel-main-page,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-23C4-B,parallel-corpora
200,http://catalog.elra.info/en-us/repository/browse/english-nepali-parallel-corpus/74cefb48a9ea11e7a093ac9e1701ca02a0f76917e52e4d24a313c0bc0b2812c7/,parallel-corpora
200,http://catalog.elra.info/product_info.php?products_id=1111,parallel-corpora
200,http://aflat.org/?q=node/86,parallel-corpora
200,https://aflat.org/?q=node/86,parallel-corpora
200,http://hdl.handle.net/11858/00-097C-0000-0006-AAE0-A,parallel-corpora
200,http://hdl.handle.net/11858/00-097C-0000-0023-625F-0,parallel-corpora
200,http://lindat.mff.cuni.cz/services/kontext/first_form?corpname=hindmonocorp_05_m,parallel-corpora
200,https://catalog.elra.info/en-us/repository/browse/english-nepali-parallel-corpus/74cefb48a9ea11e7a093ac9e1701ca02a0f76917e52e4d24a313c0bc0b2812c7/,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-258F-6,parallel-corpora
200,http://hdl.grnet.gr/11500/ATHENA-0000-0000-4300-4,parallel-corpora
200,http://qt21.metashare.ilsp.gr/repository/browse/qtlp-english-greek-corpus-for-the-medical-domain/665f3832a93211e3b7d800155dbc020119068d5402fc4d3bb497aa9dcd7a4892/,parallel-corpora
